name,dtype,bins,iv,quality_score,selected,monotonic_trend
days_since_last_txn,numerical,6,0.03344610649037291,0.5,True,ascending
days_since_first_txn,numerical,6,1.1087384933520628,0.5,False,descending
txn_days_range,numerical,6,-0.039125637617106634,0.5,False,ascending
txn_count_7d,numerical,8,0.12808918768475003,0.32000000000000006,True,None
sum_amount_7d,numerical,8,0.1758874914718145,0.5,True,None
avg_amount_7d,numerical,8,0.32909512510478645,0.4,True,None
max_amount_7d,numerical,8,0.29034692884751523,0.5,True,None
min_amount_7d,numerical,8,0.26351686204532404,0.5,True,None
std_amount_7d,numerical,6,0.2714320470917555,0.4,True,None
cv_amount_7d,numerical,7,0.14025594295763147,0.4,True,None
mean_abs_z_7d,numerical,6,0.2813899460483379,0.5,True,None
max_abs_z_7d,numerical,6,0.2519387109741032,0.4,True,None
active_days_7d,numerical,3,0.011095505155349092,0.5,False,None
avg_txn_per_day_7d,numerical,8,0.12808918768475003,0.32000000000000006,True,None
amount_min_max_ratio_7d,numerical,6,0.20449800655359165,0.5,True,None
txn_count_1m,numerical,6,-1.8334431264865891e-09,0.5,False,descending
sum_amount_1m,numerical,6,-0.02790618496011507,0.5,False,descending
avg_amount_1m,numerical,6,0.08858991847662166,0.4,True,descending
max_amount_1m,numerical,8,0.21674680760240522,0.4,True,None
min_amount_1m,numerical,8,0.4612963472533277,0.4,True,None
std_amount_1m,numerical,6,0.11752694725282947,0.4,True,ascending
cv_amount_1m,numerical,6,0.02961180093758252,0.4,True,ascending
mean_abs_z_1m,numerical,6,0.026600346274672365,0.5,True,ascending
max_abs_z_1m,numerical,8,0.6116584020706073,0.4,True,None
active_days_1m,numerical,6,0.18265965625000613,0.5,True,descending
avg_txn_per_day_1m,numerical,8,-0.0069109389101005,0.5,False,descending
amount_min_max_ratio_1m,numerical,6,0.06298948920176384,0.5,True,descending
txn_count_3m,numerical,6,-0.01385488987492605,0.5,False,descending
sum_amount_3m,numerical,6,-0.007938459812551736,0.5,False,descending
avg_amount_3m,numerical,6,0.1318988555894852,0.5,True,descending
max_amount_3m,numerical,8,0.25119445401782237,0.5,True,None
min_amount_3m,numerical,8,0.5579456197698047,0.4,True,None
std_amount_3m,numerical,6,0.008191321940002806,0.4,False,ascending
cv_amount_3m,numerical,6,1.8418471329269964e-09,0.5,False,ascending
mean_abs_z_3m,numerical,6,1.769320944963737e-09,0.5,False,ascending
max_abs_z_3m,numerical,6,0.349336112778018,0.4,True,ascending
active_days_3m,numerical,6,1.104263664377104,0.5,False,descending
avg_txn_per_day_3m,numerical,6,-0.01385488987492605,0.5,False,descending
amount_min_max_ratio_3m,numerical,6,0.0013023693392104838,0.5,False,descending
txn_count_6m,numerical,8,0.031822506538528646,0.4,True,descending
sum_amount_6m,numerical,6,-2.9630079327602754e-09,0.5,False,descending
avg_amount_6m,numerical,6,0.06033883502360035,0.5,True,descending
max_amount_6m,numerical,6,-0.02302972483646608,0.5,False,ascending
min_amount_6m,numerical,6,-3.748428546723748e-09,0.5,False,descending
std_amount_6m,numerical,6,-0.057427996637338066,0.5,False,ascending
cv_amount_6m,numerical,6,2.2415741346426543e-09,0.4,False,ascending
mean_abs_z_6m,numerical,6,-0.003401349289741746,0.5,False,ascending
max_abs_z_6m,numerical,6,0.9927394943003662,0.5,False,ascending
active_days_6m,numerical,6,1.1378655705967513,0.4,False,descending
avg_txn_per_day_6m,numerical,6,0.037193721824486214,0.5,True,descending
amount_min_max_ratio_6m,numerical,6,-3.748428581418217e-09,0.5,False,descending
txn_count_overall,numerical,8,0.028285201646326023,0.5,True,descending
sum_amount_overall,numerical,6,0.006080461726228581,0.5,False,descending
avg_amount_overall,numerical,6,0.01826796710847986,0.5,False,descending
max_amount_overall,numerical,6,0.002358389301686095,0.5,False,ascending
min_amount_overall,numerical,6,-3.6545378459540423e-09,0.4,False,descending
std_amount_overall,numerical,6,3.6689762706251794e-05,0.5,False,ascending
active_days_all,numerical,6,1.1218499283816066,0.5,False,descending
cv_amount_overall,numerical,6,2.7714115863330946e-09,0.5,False,ascending
avg_txn_per_day_overall,numerical,8,-0.021539552262316852,0.5,False,descending
mean_abs_z_overall,numerical,6,-0.009933984242515764,0.5,False,ascending
max_abs_z_overall,numerical,6,0.010830649946112533,0.5,False,ascending
avg_days_between_txn,numerical,6,-0.2002059890898355,0.5,False,ascending
dependency_ratio_7d,numerical,7,0.23635921388332562,0.5,True,None
dependency_ratio_1m,numerical,6,0.044197560261137026,0.5,True,ascending
dependency_ratio_3m,numerical,6,5.704194130928819e-09,0.5,False,ascending
dependency_ratio_6m,numerical,6,3.777787929704068e-09,0.32000000000000006,False,ascending
dependency_ratio_overall,numerical,6,5.285783949426914e-09,0.5,False,ascending
txn_count_growth_1m_vs_3m,numerical,6,-0.08669624718896518,0.5,False,descending
txn_count_growth_3m_vs_6m,numerical,6,-0.047997768603052104,0.4,False,descending
sum_amount_growth_1m_vs_3m,numerical,6,-0.04398899774739817,0.5,False,descending
sum_amount_growth_3m_vs_6m,numerical,6,-0.03980715624148384,0.4,False,descending
sum_amount_slope_6m,numerical,6,-5.644043871155802e-09,0.5,False,descending
txn_count_slope_6m,numerical,6,-0.005294253950510086,0.5,False,descending
rec_ratio_txn_7d_1m,numerical,6,0.003909037185268846,0.5,False,descending
rec_ratio_txn_1m_3m,numerical,6,-0.0857087593535375,0.5,False,descending
txn_density_3m,numerical,6,-0.0179638712188957,0.5,False,descending
txn_density_6m,numerical,6,-0.009131792532383096,0.5,False,descending
vol_recency_3m,numerical,6,3.656760227954692e-09,0.5,False,ascending
vol_recency_6m,numerical,6,3.7020518039998507e-09,0.5,False,ascending
avg_amt_ratio_1m_6m,numerical,6,-0.019762046086368404,0.5,False,descending
avg_amt_ratio_7d_3m,numerical,6,-0.02925643066220597,0.5,False,descending
txn_slope_7d_1m,numerical,6,8.182067079420818e-09,0.5,False,ascending
txn_slope_1m_3m,numerical,6,-0.0012868996448383296,0.5,False,descending
loan_type,categorical,4,0.7031329240828452,0.5,True,None
loan_total_due,numerical,6,-0.0465022432194907,0.4,False,ascending
loan_repaid_amounts,numerical,6,-1.5464174829560307e-08,0.5,False,descending
loan_repayment_rate,numerical,2,-5.5787204189527984e-08,0.25,False,descending
loan_repay_days,numerical,8,-1.1862833991684725,0.5,False,ascending
loan_shortfall,numerical,2,2.38775105243505e-09,0.25,False,ascending
